iter	Passed	Remaining
651	5699	20526
652	5701	20492
653	5702	20456
654	5704	20421
655	5705	20385
656	5706	20350
657	5707	20315
658	5708	20279
659	5710	20245
660	5711	20211
661	5712	20175
662	5713	20141
6663	5657	19902
664	5659	19872
665	5662	19842
666	5666	19819
667	5763	20121
668	5765	20088
669	5766	20054
670	5768	20020
671	5770	19989
672	5771	19955
673	5772	19922
674	5774	19890
675	5776	19858
676	5777	19825
677	5779	19793
678	5781	19761
679	5783	19732
680	5785	19700
681	5786	19667
682	5788	19636
683	5789	19603
684	5790	19570
685	5792	19539
686	5794	19508
687	5796	19478
688	5904	19804
689	5906	19773
690	5908	19742
691	5912	19718
692	5916	19694
693	5918	19664
694	5922	19641
695	5954	19709
696	5958	19688
697	5960	19657
698	5962	19627
699	5964	19596
700	5965	19565
701	6002	19648
702	6015	19654
703	6016	19621
704	6017	19588
705	6018	19556
706	6020	19524
707	6021	19492
708	6022	19460
709	6023	19427
710	6024	19396
711	6025	19363
712	6026	19331
713	6027	19299
714	6029	19268
715	6030	19237
716	6032	19209
717	6034	19179
718	6036	19151
719	6048	19153
720	6051	19127
721	6053	19098
722	6055	19070
723	6057	19041
724	6059	19013
725	6082	19052
726	6091	19046
727	6108	19064
728	6119	19062
729	6135	19080
730	6143	19070
731	6152	19063
732	6154	19035
733	6157	19008
734	6159	18982
735	6161	18953
736	6163	18924
737	6165	18896
738	6166	18866
739	6168	18838
740	6244	19035
741	6248	19014
742	6253	18995
743	6261	18986
744	6263	18957
745	6264	18928
746	6266	18899
747	6267	18870
748	6269	18841
749	6270	18812
750	6272	18783
751	6274	18756
752	6276	18730
753	6278	18702
754	6280	18674
755	6283	18651
756	6287	18628
757	6290	18605
758	6293	18580
759	6294	18553
760	6300	18535
761	6302	18509
762	6310	18501
763	6318	18491
764	6320	18466
765	6323	18440
766	6325	18416
767	6327	18389
768	6329	18363
769	6331	18336
770	6333	18309
771	6334	18280
772	6405	18453
773	6406	18425
774	6407	18396
775	6409	18368
776	6415	18353
777	6416	18326
778	6418	18298
779	6421	18275
780	6434	18282
781	6436	18255
782	6437	18228
783	6439	18201
784	6440	18173
785	6441	18145
786	6443	18118
787	6445	18092
788	6447	18066
789	6448	18040
790	6451	18016
791	6453	17991
792	6455	17966
793	6457	17939
794	6459	17914
795	6460	17888
796	6462	17862
797	6464	17837
798	6649	18316
799	6650	18289
800	6654	18268
801	6657	18244
802	6670	18249
803	6672	18224
804	6674	18199
805	6676	18173
806	6678	18148
807	6680	18124
808	6682	18098
809	6684	18072
810	6686	18046
811	6714	18091
812	6723	18085
813	6724	18059
814	6726	18032
815	6727	18006
816	6728	17979
817	6730	17953
818	6732	17927
819	6733	17902
820	6735	17876
821	6737	17852
822	6742	17835
823	6744	17809
824	6745	17784
825	6779	17843
826	6783	17823
827	6784	17797
828	6785	17771
829	6788	17746
830	6789	17721
831	6791	17696
832	6796	17679
833	6797	17654
834	6798	17628
835	6800	17604
836	6802	17578
837	6803	17553
838	6805	17527
839	6806	17502
840	6865	17625
841	6872	17613
842	6874	17589
843	6876	17565
844	6877	17540
845	6883	17526
846	6885	17502
847	6889	17483
848	6907	17500
849	6909	17478
850	6911	17454
851	6915	17433
852	6917	17412
853	6919	17387
854	6921	17363
855	6924	17344
856	6926	17321
857	6928	17298
858	6930	17273
859	6931	17248
860	6933	17224
861	6935	17201
862	6937	17178
863	6954	17192
864	6957	17171
865	6959	17148
866	6960	17125
867	6968	17116
868	6971	17096
869	6973	17072
870	6975	17050
871	6977	17027
872	6979	17004
873	6982	16985
874	6985	16964
875	6987	16943
876	6993	16929
877	6998	16913
878	7000	16892
879	7002	16869
880	7004	16846
881	7005	16823
882	7007	16801
883	7009	16778
884	7011	16756
885	7015	16738
886	7017	16717
887	7019	16695
888	7021	16673
889	7024	16654
890	7026	16632
891	7030	16613
892	7032	16592
893	7037	16577
894	7042	16562
895	7047	16548
896	7049	16528
897	7051	16506
898	7054	16486
899	7056	16465
900	7059	16446
901	7062	16427
902	7064	16405
903	7066	16384
904	7070	16366
905	7073	16348
906	7077	16332
907	7080	16312
908	7082	16291
909	7086	16276
910	7088	16255
911	7090	16234
912	7092	16213
913	7095	16194
914	7097	16173
915	7098	16150
916	7101	16130
917	7104	16112
918	7107	16094
919	7113	16082
920	7116	16064
921	7120	16049
922	7126	16035
923	7128	16015
924	7130	15995
925	7134	15979
926	7137	15960
927	7140	15943
928	7144	15926
929	7147	15908
930	7150	15890
931	7153	15872
932	7160	15863
933	7164	15847
